Open Device Successfully!
Device Count: 1
Device Index: 0
S/N: F1480723
Pixel Count: 512
HW Version: 10000006
FW Version: 10000020
DLL Version: 21502063
Load Calibration Data Successfully
2014_11_16 16_25_47
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01,  190.586, 30414.572
2014_11_16 16_25_47
2014_11_16 16_25_47
0
2014_11_16 16_25_52
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01,  190.582, 30501.394
2014_11_16 16_25_52
2014_11_16 16_25_52
0
2014_11_16 16_25_54
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01,  190.580, 30429.954
2014_11_16 16_25_54
2014_11_16 16_25_54
0
2014_11_16 16_25_55
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01,  190.582, 30508.061
2014_11_16 16_25_55
2014_11_16 16_25_55
0
Pixel,  Wavelength(nm)
000,   1520.3914
001,   1520.4985
002,   1520.6058
003,   1520.7132
004,   1520.8217
005,   1520.9278
006,   1521.0368
007,   1521.1420
008,   1521.2502
009,   1521.3585
010,   1521.4650
011,   1521.5728
012,   1521.6788
013,   1521.7859
014,   1521.8935
015,   1521.9996
016,   1522.1076
017,   1522.2138
018,   1522.3218
019,   1522.4272
020,   1522.5344
021,   1522.6404
022,   1522.7478
023,   1522.8542
024,   1522.9603
025,   1523.0681
026,   1523.1738
027,   1523.2809
028,   1523.3875
029,   1523.4930
030,   1523.6004
031,   1523.7042
032,   1523.8113
033,   1523.9175
034,   1524.0230
035,   1524.1315
036,   1524.2355
037,   1524.3427
038,   1524.4489
039,   1524.5544
040,   1524.6624
041,   1524.7658
042,   1524.8724
043,   1524.9780
044,   1525.0839
045,   1525.1901
046,   1525.2940
047,   1525.4011
048,   1525.5073
049,   1525.6123
050,   1525.7186
051,   1525.8236
052,   1525.9306
053,   1526.0347
054,   1526.1399
055,   1526.2453
056,   1526.3506
057,   1526.4572
058,   1526.5608
059,   1526.6665
060,   1526.7727
061,   1526.8779
062,   1526.9839
063,   1527.0870
064,   1527.1928
065,   1527.2976
066,   1527.4026
067,   1527.5081
068,   1527.6120
069,   1527.7181
070,   1527.8224
071,   1527.9273
072,   1528.0330
073,   1528.1363
074,   1528.2422
075,   1528.3466
076,   1528.4514
077,   1528.5563
078,   1528.6590
079,   1528.7656
080,   1528.8698
081,   1528.9744
082,   1529.0792
083,   1529.1822
084,   1529.2878
085,   1529.3914
086,   1529.4956
087,   1529.6004
088,   1529.7037
089,   1529.8092
090,   1529.9128
091,   1530.0171
092,   1530.1222
093,   1530.2248
094,   1530.3299
095,   1530.4333
096,   1530.5363
097,   1530.6401
098,   1530.7432
099,   1530.8478
100,   1530.9515
101,   1531.0553
102,   1531.1597
103,   1531.2621
104,   1531.3673
105,   1531.4706
106,   1531.5740
107,   1531.6774
108,   1531.7798
109,   1531.8843
110,   1531.9876
111,   1532.0908
112,   1532.1948
113,   1532.2968
114,   1532.4007
115,   1532.5042
116,   1532.6084
117,   1532.7116
118,   1532.8127
119,   1532.9164
120,   1533.0196
121,   1533.1231
122,   1533.2270
123,   1533.3280
124,   1533.4319
125,   1533.5350
126,   1533.6370
127,   1533.7418
128,   1533.8425
129,   1533.9454
130,   1534.0478
131,   1534.1495
