Open Device Successfully!
Device Count: 1
Device Index: 0
S/N: F1480723
Pixel Count: 512
HW Version: 10000006
FW Version: 10000020
DLL Version: 21502063
Open Device Successfully!
Device Count: 1
Device Index: 0
S/N: F1480723
Pixel Count: 512
HW Version: 10000006
FW Version: 10000020
DLL Version: 21502063
Integration Time: 1000 us
Line Rate: 889 Hz
Load Calibration Data Successfully
Pixel,  Wavelength(nm)
000,   1520.4960
001,   1520.6032
002,   1520.7105
003,   1520.8179
004,   1520.9266
005,   1521.0324
006,   1521.1416
007,   1521.2467
008,   1521.3549
009,   1521.4634
010,   1521.5694
011,   1521.6778
012,   1521.7832
013,   1521.8906
014,   1521.9982
015,   1522.1041
016,   1522.2126
017,   1522.3182
018,   1522.4265
019,   1522.5319
020,   1522.6389
021,   1522.7452
022,   1522.8521
023,   1522.9590
024,   1523.0650
025,   1523.1725
026,   1523.2785
027,   1523.3852
028,   1523.4923
029,   1523.5975
030,   1523.7049
031,   1523.8088
032,   1523.9158
033,   1524.0221
034,   1524.1273
035,   1524.2361
036,   1524.3400
037,   1524.4472
038,   1524.5534
039,   1524.6586
040,   1524.7670
041,   1524.8703
042,   1524.9769
043,   1525.0825
044,   1525.1882
045,   1525.2949
046,   1525.3983
047,   1525.5057
048,   1525.6118
049,   1525.7166
050,   1525.8232
051,   1525.9278
052,   1526.0351
053,   1526.1391
054,   1526.2442
055,   1526.3499
056,   1526.4548
057,   1526.5616
058,   1526.6652
059,   1526.7708
060,   1526.8773
061,   1526.9820
062,   1527.0883
063,   1527.1914
064,   1527.2971
065,   1527.4022
066,   1527.5067
067,   1527.6125
068,   1527.7163
069,   1527.8224
070,   1527.9268
071,   1528.0314
072,   1528.1374
073,   1528.2406
074,   1528.3464
075,   1528.4509
076,   1528.5555
077,   1528.6607
078,   1528.7632
079,   1528.8698
080,   1528.9740
081,   1529.0785
082,   1529.1836
083,   1529.2863
084,   1529.3920
085,   1529.4956
086,   1529.5996
087,   1529.7048
088,   1529.8078
089,   1529.9134
090,   1530.0170
091,   1530.1210
092,   1530.2266
093,   1530.3289
094,   1530.4341
095,   1530.5375
096,   1530.6402
097,   1530.7444
098,   1530.8472
099,   1530.9520
100,   1531.0557
101,   1531.1591
102,   1531.2639
103,   1531.3661
104,   1531.4714
105,   1531.5748
106,   1531.6779
107,   1531.7817
108,   1531.8839
109,   1531.9883
110,   1532.0918
111,   1532.1946
112,   1532.2990
113,   1532.4008
114,   1532.5047
115,   1532.6084
116,   1532.7122
117,   1532.8157
118,   1532.9167
119,   1533.0204
120,   1533.1238
121,   1533.2269
122,   1533.3310
123,   1533.4320
124,   1533.5359
125,   1533.6392
126,   1533.7409
127,   1533.8458
128,   1533.9465
129,   1534.0492
130,   1534.1519
131,   1534.2534
132,   1534.3585
133,   1534.4603
134,   1534.5625
135,   1534.6660
136,   1534.7675
137,   1534.8709
138,   1534.9724
139,   1535.0743
140,   1535.1776
141,   1535.2783
142,   1535.3816
143,   1535.4841
144,   1535.5858
145,   1535.6893
146,   1535.7900
147,   1535.8930
148,   1535.9960
149,   1536.0964
150,   1536.1994
151,   1536.3002
152,   1536.4016
153,   1536.5043
154,   1536.6051
155,   1536.7084
156,   1536.8099
157,   1536.9114
158,   1537.0139
159,   1537.1145
160,   1537.2161
161,   1537.3177
162,   1537.4182
163,   1537.5210
164,   1537.6217
165,   1537.7232
166,   1537.8249
167,   1537.9251
168,   1538.0281
169,   1538.1286
170,   1538.2303
171,   1538.3317
172,   1538.4314
173,   1538.5330
174,   1538.6347
175,   1538.7357
176,   1538.8374
177,   1538.9374
178,   1539.0382
179,   1539.1393
180,   1539.2398
181,   1539.3415
182,   1539.4416
183,   1539.5426
184,   1539.6437
185,   1539.7430
186,   1539.8448
187,   1539.9457
188,   1540.0461
189,   1540.1474
190,   1540.2471
191,   1540.3482
192,   1540.4486
193,   1540.5471
194,   1540.6485
195,   1540.7482
196,   1540.8485
197,   1540.9495
198,   1541.0480
199,   1541.1490
200,   1541.2501
201,   1541.3490
202,   1541.4503
203,   1541.5498
204,   1541.6497
205,   1541.7504
206,   1541.8482
207,   1541.9492
208,   1542.0489
209,   1542.1487
210,   1542.2497
211,   1542.3481
212,   1542.4486
213,   1542.5486
214,   1542.6464
215,   1542.7472
216,   1542.8471
217,   1542.9456
218,   1543.0462
219,   1543.1445
220,   1543.2448
221,   1543.3450
222,   1543.4422
223,   1543.5427
224,   1543.6419
225,   1543.7400
226,   1543.8399
227,   1543.9379
228,   1544.0372
229,   1544.1369
230,   1544.2347
231,   1544.3346
232,   1544.4344
233,   1544.5322
234,   1544.6321
235,   1544.7304
236,   1544.8287
237,   1544.9283
238,   1545.0254
239,   1545.1246
240,   1545.2240
241,   1545.3212
242,   1545.4215
243,   1545.5195
244,   1545.6182
245,   1545.7176
246,   1545.8147
247,   1545.9133
248,   1546.0124
249,   1546.1092
250,   1546.2080
251,   1546.3061
252,   1546.4040
253,   1546.5038
254,   1546.6005
255,   1546.6985
256,   1546.7979
257,   1546.8942
258,   1546.9915
259,   1547.0904
260,   1547.1871
261,   1547.2868
262,   1547.3837
263,   1547.4811
264,   1547.5806
265,   1547.6765
266,   1547.7743
267,   1547.8727
268,   1547.9686
269,   1548.0670
270,   1548.1645
271,   1548.2615
272,   1548.3604
273,   1548.4573
274,   1548.5544
275,   1548.6528
276,   1548.7490
277,   1548.8465
278,   1548.9448
279,   1549.0403
280,   1549.1380
281,   1549.2353
282,   1549.3316
283,   1549.4295
284,   1549.5257
285,   1549.6232
286,   1549.7206
287,   1549.8160
288,   1549.9143
289,   1550.0117
290,   1550.1067
291,   1550.2037
292,   1550.3007
293,   1550.3968
294,   1550.4939
295,   1550.5900
296,   1550.6866
297,   1550.7847
298,   1550.8795
299,   1550.9756
300,   1551.0731
301,   1551.1680
302,   1551.2648
303,   1551.3617
304,   1551.4572
305,   1551.5546
306,   1551.6504
307,   1551.7463
308,   1551.8438
309,   1551.9390
310,   1552.0347
311,   1552.1316
312,   1552.2258
313,   1552.3219
314,   1552.4186
315,   1552.5132
316,   1552.6100
317,   1552.7060
318,   1552.8012
319,   1552.8984
320,   1552.9939
321,   1553.0895
322,   1553.1854
323,   1553.2794
324,   1553.3745
325,   1553.4713
326,   1553.5650
327,   1553.6611
328,   1553.7571
329,   1553.8509
330,   1553.9471
331,   1554.0430
332,   1554.1379
333,   1554.2342
334,   1554.3281
335,   1554.4228
336,   1554.5199
337,   1554.6140
338,   1554.7088
339,   1554.8052
340,   1554.8988
341,   1554.9941
342,   1555.0900
343,   1555.1832
344,   1555.2789
345,   1555.3738
346,   1555.4668
347,   1555.5624
348,   1555.6576
349,   1555.7517
350,   1555.8478
351,   1555.9417
352,   1556.0365
353,   1556.1326
354,   1556.2253
355,   1556.3197
356,   1556.4146
357,   1556.5079
358,   1556.6020
359,   1556.6968
360,   1556.7902
361,   1556.8855
362,   1556.9795
363,   1557.0728
364,   1557.1683
365,   1557.2624
366,   1557.3555
367,   1557.4509
368,   1557.5445
369,   1557.6381
370,   1557.7327
371,   1557.8255
372,   1557.9196
373,   1558.0149
374,   1558.1074
375,   1558.2014
376,   1558.2957
377,   1558.3877
378,   1558.4815
379,   1558.5764
380,   1558.6687
381,   1558.7633
382,   1558.8574
383,   1558.9497
384,   1559.0443
385,   1559.1380
386,   1559.2306
387,   1559.3245
388,   1559.4167
389,   1559.5093
390,   1559.6033
391,   1559.6957
392,   1559.7893
393,   1559.8830
394,   1559.9753
395,   1560.0688
396,   1560.1626
397,   1560.2551
398,   1560.3478
399,   1560.4413
400,   1560.5336
401,   1560.6269
402,   1560.7198
403,   1560.8117
404,   1560.9055
405,   1560.9985
406,   1561.0901
407,   1561.1829
408,   1561.2758
409,   1561.3675
410,   1561.4602
411,   1561.5525
412,   1561.6449
413,   1561.7382
414,   1561.8304
415,   1561.9224
416,   1562.0154
417,   1562.1079
418,   1562.1999
419,   1562.2922
420,   1562.3842
421,   1562.4758
422,   1562.5680
423,   1562.6601
424,   1562.7522
425,   1562.8440
426,   1562.9369
427,   1563.0285
428,   1563.1209
429,   1563.2129
430,   1563.3038
431,   1563.3954
432,   1563.4874
433,   1563.5786
434,   1563.6702
435,   1563.7628
436,   1563.8544
437,   1563.9461
438,   1564.0375
439,   1564.1286
440,   1564.2207
441,   1564.3121
442,   1564.4022
443,   1564.4942
444,   1564.5862
445,   1564.6767
446,   1564.7684
447,   1564.8600
448,   1564.9508
449,   1565.0428
450,   1565.1335
451,   1565.2243
452,   1565.3161
453,   1565.4067
454,   1565.4969
455,   1565.5884
456,   1565.6792
457,   1565.7692
458,   1565.8613
459,   1565.9514
460,   1566.0422
461,   1566.1342
462,   1566.2245
463,   1566.3141
464,   1566.4053
465,   1566.4952
466,   1566.5851
467,   1566.6770
468,   1566.7671
469,   1566.8576
470,   1566.9488
471,   1567.0387
472,   1567.1292
473,   1567.2203
474,   1567.3096
475,   1567.3994
476,   1567.4903
477,   1567.5795
478,   1567.6696
479,   1567.7601
480,   1567.8504
481,   1567.9403
482,   1568.0305
483,   1568.1204
484,   1568.2106
485,   1568.3006
486,   1568.3904
487,   1568.4801
488,   1568.5696
489,   1568.6597
490,   1568.7485
491,   1568.8379
492,   1568.9283
493,   1569.0180
494,   1569.1076
495,   1569.1970
496,   1569.2857
497,   1569.3751
498,   1569.4655
499,   1569.5550
500,   1569.6447
501,   1569.7349
502,   1569.8236
503,   1569.9126
504,   1570.0019
505,   1570.0907
506,   1570.1792
507,   1570.2693
508,   1570.3575
509,   1570.4467
510,   1570.5357
511,   1570.6247
Case Temperature: 34.194
Wavelength, Intensity
1520.496,    3518
1520.603,    3840
1520.711,    3853
1520.818,    3884
1520.927,    3863
1521.032,    3851
1521.142,    3874
1521.247,    3876
1521.355,    3866
1521.463,    3868
1521.569,    3878
1521.678,    3874
1521.783,    3884
1521.891,    3890
1521.998,    3885
1522.104,    3891
1522.213,    3916
1522.318,    3898
1522.427,    3879
1522.532,    3886
1522.639,    3893
1522.745,    3894
1522.852,    3902
1522.959,    3896
1523.065,    3885
1523.172,    3896
1523.278,    3901
1523.385,    3881
1523.492,    3884
1523.597,    3886
1523.705,    3896
1523.809,    3879
1523.916,    3881
1524.022,    3887
1524.127,    3869
1524.236,    3886
1524.340,    3874
1524.447,    3873
1524.553,    3866
1524.659,    3886
1524.767,    3864
1524.870,    3853
1524.977,    3841
1525.082,    3844
1525.188,    3832
1525.295,    3829
1525.398,    3836
1525.506,    3824
1525.612,    3810
1525.717,    3822
1525.823,    3799
1525.928,    3810
1526.035,    3793
1526.139,    3808
1526.244,    3778
1526.350,    3801
1526.455,    3796
1526.562,    3770
1526.665,    3766
1526.771,    3801
1526.877,    3786
1526.982,    3778
1527.088,    3767
1527.191,    3799
1527.297,    3760
1527.402,    3772
1527.507,    3766
1527.613,    3780
1527.716,    3761
1527.822,    3778
1527.927,    3776
1528.031,    3771
1528.137,    3775
1528.241,    3798
1528.346,    3780
1528.451,    3779
1528.555,    3776
1528.661,    3758
1528.763,    3769
1528.870,    3761
1528.974,    3778
1529.078,    3774
1529.184,    3754
1529.286,    3774
1529.392,    3771
1529.496,    3761
1529.600,    3777
1529.705,    3775
1529.808,    3766
1529.913,    3781
1530.017,    3792
1530.121,    3781
1530.227,    3797
1530.329,    3780
1530.434,    3800
1530.537,    3820
1530.640,    3804
1530.744,    3801
1530.847,    3800
1530.952,    3812
1531.056,    3816
1531.159,    3822
1531.264,    3809
1531.366,    3811
1531.471,    3803
1531.575,    3820
1531.678,    3833
1531.782,    3828
1531.884,    3844
1531.988,    3821
1532.092,    3809
1532.195,    3825
1532.299,    3826
1532.401,    3829
1532.505,    3804
1532.608,    3814
1532.712,    3825
1532.816,    3829
1532.917,    3797
1533.020,    3820
1533.124,    3831
1533.227,    3827
1533.331,    3816
1533.432,    3822
1533.536,    3809
1533.639,    3808
1533.741,    3800
1533.846,    3803
1533.947,    3797
1534.049,    3800
1534.152,    3792
1534.253,    3792
1534.359,    3782
1534.460,    3803
1534.563,    3785
1534.666,    3761
1534.767,    3784
1534.871,    3779
1534.972,    3763
1535.074,    3770
1535.178,    3749
1535.278,    3764
1535.382,    3739
1535.484,    3753
1535.586,    3772
1535.689,    3756
1535.790,    3744
1535.893,    3756
1535.996,    3752
1536.096,    3757
1536.199,    3762
1536.300,    3765
1536.402,    3757
1536.504,    3744
1536.605,    3743
1536.708,    3757
1536.810,    3749
1536.911,    3776
1537.014,    3745
1537.114,    3766
1537.216,    3755
1537.318,    3764
1537.418,    3750
1537.521,    3767
1537.622,    3747
1537.723,    3782
1537.825,    3752
1537.925,    3767
1538.028,    3754
1538.129,    3764
1538.230,    3767
1538.332,    3754
1538.431,    3743
1538.533,    3764
1538.635,    3745
1538.736,    3732
1538.837,    3756
1538.937,    3730
1539.038,    3732
1539.139,    3749
1539.240,    3716
1539.341,    3744
1539.442,    3721
1539.543,    3729
1539.644,    3726
1539.743,    3721
1539.845,    3727
1539.946,    3730
1540.046,    3725
1540.147,    3737
1540.247,    3744
1540.348,    3717
1540.449,    3721
1540.547,    3736
1540.648,    3699
1540.748,    3713
1540.848,    3698
1540.950,    3722
1541.048,    3720
1541.149,    3707
1541.250,    3704
1541.349,    3705
1541.450,    3697
1541.550,    3724
1541.650,    3708
1541.750,    3700
1541.848,    3709
1541.949,    3708
1542.049,    3699
1542.149,    3702
1542.250,    3712
1542.348,    3704
1542.449,    3698
1542.549,    3703
1542.646,    3714
1542.747,    3691
1542.847,    3685
1542.946,    3681
1543.046,    3679
1543.145,    3704
1543.245,    3669
1543.345,    3693
1543.442,    3667
1543.543,    3686
1543.642,    3687
1543.740,    3674
1543.840,    3681
1543.938,    3674
1544.037,    3679
1544.137,    3688
1544.235,    3685
1544.335,    3657
1544.434,    3667
1544.532,    3675
1544.632,    3674
1544.730,    3676
1544.829,    3656
1544.928,    3665
1545.025,    3671
1545.125,    3681
1545.224,    3657
1545.321,    3657
1545.422,    3646
1545.520,    3670
1545.618,    3655
1545.718,    3673
1545.815,    3653
1545.913,    3672
1546.012,    3643
1546.109,    3672
1546.208,    3677
1546.306,    3700
1546.404,    3651
1546.504,    3675
1546.600,    3648
1546.699,    3666
1546.798,    3646
1546.894,    3681
1546.992,    3685
1547.090,    3689
1547.187,    3664
1547.287,    3675
1547.384,    3652
1547.481,    3676
1547.581,    3660
1547.676,    3663
1547.774,    3648
1547.873,    3671
1547.969,    3662
1548.067,    3664
1548.164,    3640
1548.262,    3660
1548.360,    3648
1548.457,    3648
1548.554,    3659
1548.653,    3644
1548.749,    3646
1548.847,    3623
1548.945,    3622
1549.040,    3635
1549.138,    3636
1549.235,    3629
1549.332,    3650
1549.429,    3636
1549.526,    3640
1549.623,    3624
1549.721,    3593
1549.816,    3630
1549.914,    3600
1550.012,    3598
1550.107,    3620
1550.204,    3630
1550.301,    3602
1550.397,    3618
1550.494,    3599
1550.590,    3593
1550.687,    3602
1550.785,    3602
1550.880,    3584
1550.976,    3603
1551.073,    3598
1551.168,    3584
1551.265,    3586
