Pixel,  Wavelength(nm)
000,   1520.4418
001,   1520.5490
002,   1520.6563
003,   1520.7637
004,   1520.8723
005,   1520.9782
006,   1521.0874
007,   1521.1925
008,   1521.3007
009,   1521.4091
010,   1521.5154
011,   1521.6235
012,   1521.7291
013,   1521.8364
014,   1521.9440
015,   1522.0500
016,   1522.1583
017,   1522.2641
018,   1522.3723
019,   1522.4777
020,   1522.5848
021,   1522.6910
022,   1522.7982
023,   1522.9048
024,   1523.0108
025,   1523.1185
026,   1523.2243
027,   1523.3313
028,   1523.4381
029,   1523.5434
030,   1523.6508
031,   1523.7547
032,   1523.8617
033,   1523.9680
034,   1524.0734
035,   1524.1820
036,   1524.2859
037,   1524.3931
038,   1524.4993
039,   1524.6047
040,   1524.7129
041,   1524.8162
042,   1524.9228
043,   1525.0284
044,   1525.1343
045,   1525.2407
046,   1525.3444
047,   1525.4516
048,   1525.5577
049,   1525.6627
050,   1525.7691
051,   1525.8739
052,   1525.9810
053,   1526.0852
054,   1526.1903
055,   1526.2958
056,   1526.4009
057,   1526.5077
058,   1526.6112
059,   1526.7169
060,   1526.8232
061,   1526.9282
062,   1527.0343
063,   1527.1374
064,   1527.2432
065,   1527.3481
066,   1527.4529
067,   1527.5585
068,   1527.6624
069,   1527.7685
070,   1527.8729
071,   1527.9776
072,   1528.0835
073,   1528.1867
074,   1528.2926
075,   1528.3970
076,   1528.5017
077,   1528.6068
078,   1528.7094
079,   1528.8160
080,   1528.9202
081,   1529.0247
082,   1529.1297
083,   1529.2325
084,   1529.3382
085,   1529.4418
086,   1529.5459
087,   1529.6509
088,   1529.7540
089,   1529.8596
090,   1529.9632
091,   1530.0673
092,   1530.1727
093,   1530.2751
094,   1530.3803
095,   1530.4837
096,   1530.5865
097,   1530.6906
098,   1530.7935
099,   1530.8982
100,   1531.0019
101,   1531.1055
102,   1531.2101
103,   1531.3124
104,   1531.4177
105,   1531.5210
106,   1531.6242
107,   1531.7279
108,   1531.8301
109,   1531.9346
110,   1532.0380
111,   1532.1410
112,   1532.2452
113,   1532.3471
114,   1532.4510
115,   1532.5546
116,   1532.6586
117,   1532.7620
118,   1532.8630
119,   1532.9667
120,   1533.0700
121,   1533.1733
122,   1533.2773
123,   1533.3783
124,   1533.4822
125,   1533.5854
126,   1533.6872
127,   1533.7921
128,   1533.8928
129,   1533.9956
130,   1534.0982
131,   1534.1997
132,   1534.3048
133,   1534.4066
134,   1534.5089
135,   1534.6123
136,   1534.7138
137,   1534.8172
138,   1534.9187
139,   1535.0207
140,   1535.1239
141,   1535.2246
142,   1535.3279
143,   1535.4304
144,   1535.5322
145,   1535.6356
146,   1535.7363
147,   1535.8393
148,   1535.9423
149,   1536.0428
150,   1536.1457
151,   1536.2465
152,   1536.3480
153,   1536.4506
154,   1536.5515
155,   1536.6547
156,   1536.7562
157,   1536.8578
158,   1536.9601
159,   1537.0608
160,   1537.1625
161,   1537.2640
162,   1537.3646
163,   1537.4673
164,   1537.5680
165,   1537.6696
166,   1537.7712
167,   1537.8715
168,   1537.9744
169,   1538.0749
170,   1538.1767
171,   1538.2780
172,   1538.3778
173,   1538.4794
174,   1538.5810
175,   1538.6821
176,   1538.7837
177,   1538.8837
178,   1538.9846
179,   1539.0856
180,   1539.1862
181,   1539.2878
182,   1539.3879
183,   1539.4890
184,   1539.5900
185,   1539.6893
186,   1539.7912
187,   1539.8920
188,   1539.9925
189,   1540.0938
190,   1540.1934
191,   1540.2946
192,   1540.3949
193,   1540.4935
194,   1540.5949
195,   1540.6945
196,   1540.7949
197,   1540.8959
198,   1540.9944
199,   1541.0954
200,   1541.1965
201,   1541.2954
202,   1541.3967
203,   1541.4961
204,   1541.5962
205,   1541.6968
206,   1541.7945
207,   1541.8956
208,   1541.9952
209,   1542.0951
210,   1542.1961
211,   1542.2945
212,   1542.3950
213,   1542.4950
214,   1542.5928
215,   1542.6936
216,   1542.7935
217,   1542.8920
218,   1542.9926
219,   1543.0909
220,   1543.1912
221,   1543.2914
222,   1543.3886
223,   1543.4891
224,   1543.5883
225,   1543.6864
226,   1543.7863
227,   1543.8843
228,   1543.9837
229,   1544.0833
230,   1544.1811
231,   1544.2810
232,   1544.3808
233,   1544.4786
234,   1544.5785
235,   1544.6768
236,   1544.7751
237,   1544.8746
238,   1544.9718
239,   1545.0710
240,   1545.1704
241,   1545.2676
242,   1545.3679
243,   1545.4659
244,   1545.5646
245,   1545.6640
246,   1545.7611
247,   1545.8597
248,   1545.9588
249,   1546.0556
250,   1546.1544
251,   1546.2525
252,   1546.3504
253,   1546.4501
254,   1546.5468
255,   1546.6449
256,   1546.7442
257,   1546.8406
258,   1546.9379
259,   1547.0367
260,   1547.1335
261,   1547.2331
262,   1547.3301
263,   1547.4275
264,   1547.5269
265,   1547.6228
266,   1547.7207
267,   1547.8190
268,   1547.9150
269,   1548.0134
270,   1548.1108
271,   1548.2079
272,   1548.3067
273,   1548.4037
274,   1548.5008
275,   1548.5992
276,   1548.6954
277,   1548.7929
278,   1548.8911
279,   1548.9867
280,   1549.0844
281,   1549.1816
282,   1549.2780
283,   1549.3758
284,   1549.4721
285,   1549.5696
286,   1549.6669
287,   1549.7624
288,   1549.8606
289,   1549.9580
290,   1550.0531
291,   1550.1500
292,   1550.2470
293,   1550.3432
294,   1550.4402
295,   1550.5363
296,   1550.6330
297,   1550.7310
298,   1550.8259
299,   1550.9220
300,   1551.0194
301,   1551.1143
302,   1551.2111
303,   1551.3080
304,   1551.4036
