Case Temperature: 31.099
Wavelength, Intensity
1520.449,    3062
1520.556,    3358
1520.664,    3354
1520.771,    3362
1520.880,    3354
1520.986,    3351
1521.095,    3360
1521.200,    3369
1521.308,    3354
1521.416,    3364
1521.523,    3360
1521.631,    3363
1521.736,    3353
1521.844,    3359
1521.951,    3357
1522.057,    3370
1522.166,    3371
1522.271,    3379
1522.380,    3342
1522.485,    3396
1522.592,    3373
1522.698,    3390
1522.805,    3363
1522.912,    3387
1523.018,    3371
1523.126,    3397
1523.232,    3361
1523.339,    3425
1523.445,    3399
1523.551,    3417
1523.658,    3405
1523.762,    3398
1523.869,    3390
1523.975,    3410
1524.081,    3378
1524.189,    3426
1524.293,    3394
1524.400,    3408
1524.507,    3415
1524.612,    3415
1524.720,    3387
1524.824,    3417
1524.930,    3409
1525.036,    3422
1525.142,    3393
1525.248,    3414
1525.352,    3388
1525.459,    3403
1525.565,    3413
1525.670,    3387
1525.776,    3401
1525.881,    3430
1525.988,    3397
1526.092,    3412
1526.198,    3388
1526.303,    3432
1526.408,    3413
1526.515,    3411
1526.619,    3412
1526.724,    3399
1526.831,    3395
1526.935,    3386
1527.042,    3385
1527.145,    3391
1527.250,    3395
1527.355,    3415
1527.460,    3387
1527.566,    3391
1527.670,    3390
1527.776,    3407
1527.880,    3421
1527.985,    3394
1528.091,    3383
1528.194,    3419
1528.300,    3397
1528.404,    3378
1528.509,    3392
1528.614,    3417
1528.717,    3375
1528.823,    3384
1528.927,    3379
1529.032,    3384
1529.137,    3389
1529.240,    3404
1529.345,    3383
1529.449,    3380
1529.553,    3366
1529.658,    3391
1529.761,    3381
1529.867,    3380
1529.970,    3361
1530.075,    3389
1530.180,    3358
1530.282,    3386
1530.388,    3355
1530.491,    3366
1530.594,    3348
1530.698,    3339
1530.801,    3360
1530.905,    3359
1531.009,    3335
1531.113,    3341
1531.217,    3339
1531.320,    3346
1531.425,    3322
1531.528,    3359
1531.631,    3367
1531.735,    3362
1531.837,    3345
1531.942,    3353
1532.045,    3347
1532.148,    3344
1532.252,    3354
1532.354,    3338
1532.458,    3356
1532.562,    3360
1532.666,    3361
1532.769,    3346
1532.870,    3353
1532.974,    3389
1533.077,    3342
1533.181,    3392
1533.285,    3371
1533.386,    3387
1533.489,    3385
1533.593,    3382
1533.694,    3369
1533.799,    3389
1533.900,    3373
1534.003,    3381
1534.105,    3376
1534.207,    3407
1534.312,    3389
1534.414,    3395
1534.516,    3388
1534.620,    3415
1534.721,    3384
1534.824,    3407
1534.926,    3394
1535.028,    3408
1535.131,    3395
1535.232,    3412
1535.335,    3396
1535.438,    3391
1535.539,    3369
1535.643,    3410
1535.744,    3389
1535.847,    3396
1535.950,    3392
1536.050,    3383
1536.153,    3379
1536.254,    3396
1536.355,    3378
1536.458,    3392
1536.559,    3380
1536.662,    3380
1536.763,    3384
1536.865,    3404
1536.967,    3363
1537.068,    3385
1537.170,    3373
1537.271,    3387
1537.372,    3380
1537.475,    3385
1537.575,    3371
1537.677,    3397
1537.778,    3380
1537.879,    3386
1537.982,    3358
1538.082,    3390
1538.184,    3376
1538.285,    3392
1538.385,    3379
1538.487,    3380
1538.588,    3366
1538.689,    3394
1538.791,    3368
1538.891,    3365
1538.992,    3359
1539.093,    3376
1539.193,    3359
1539.295,    3361
1539.395,    3356
1539.496,    3361
1539.597,    3374
1539.697,    3358
1539.798,    3379
1539.899,    3343
1540.000,    3358
1540.101,    3373
1540.201,    3366
1540.302,    3335
1540.402,    3336
1540.501,    3340
1540.602,    3328
1540.702,    3341
1540.802,    3356
1540.903,    3330
1541.002,    3342
1541.103,    3314
1541.204,    3325
1541.303,    3326
1541.404,    3320
1541.503,    3346
1541.603,    3351
1541.704,    3326
1541.802,    3336
1541.903,    3324
1542.002,    3326
1542.102,    3348
1542.203,    3327
1542.302,    3358
1542.402,    3333
1542.502,    3354
1542.600,    3354
1542.701,    3354
1542.801,    3350
1542.899,    3380
1543.000,    3402
1543.098,    3646
1543.198,    5161
1543.299,    6401
1543.396,    4995
1543.496,    3671
1543.596,    3471
1543.694,    3413
1543.794,    3365
1543.892,    3393
1543.991,    3357
1544.091,    3380
1544.188,    3369
1544.288,    3374
1544.388,    3348
1544.486,    3378
1544.586,    3360
1544.684,    3373
1544.782,    3378
1544.882,    3371
1544.979,    3360
1545.078,    3379
1545.178,    3372
1545.275,    3371
1545.375,    3370
1545.473,    3360
1545.572,    3361
1545.671,    3369
1545.768,    3366
1545.867,    3365
1545.966,    3341
1546.063,    3356
1546.162,    3349
1546.260,    3383
1546.358,    3357
1546.457,    3349
1546.554,    3346
1546.652,    3355
1546.751,    3360
1546.848,    3357
1546.945,    3345
1547.044,    3363
1547.141,    3363
1547.240,    3363
1547.337,    3332
1547.435,    3370
1547.534,    3348
1547.630,    3361
1547.728,    3336
1547.826,    3352
1547.922,    3341
