Open Device Successfully!
Device Count: 1
Device Index: 0
S/N: F1480723
Pixel Count: 512
HW Version: 10000006
FW Version: 10000020
DLL Version: 21502063
Load Calibration Data Successfully
Integration Time: 1000 us
Line Rate: 889 Hz
Pixel,  Wavelength(nm)
000,   1520.4609
001,   1520.5681
002,   1520.6754
003,   1520.7828
004,   1520.8914
005,   1520.9973
006,   1521.1065
007,   1521.2116
008,   1521.3198
009,   1521.4282
010,   1521.5344
011,   1521.6426
012,   1521.7482
013,   1521.8555
014,   1521.9631
015,   1522.0691
016,   1522.1774
017,   1522.2832
018,   1522.3914
019,   1522.4968
020,   1522.6039
021,   1522.7101
022,   1522.8172
023,   1522.9239
024,   1523.0299
025,   1523.1375
026,   1523.2434
027,   1523.3503
028,   1523.4572
029,   1523.5625
030,   1523.6699
031,   1523.7738
032,   1523.8808
033,   1523.9871
034,   1524.0924
035,   1524.2011
036,   1524.3050
037,   1524.4122
038,   1524.5184
039,   1524.6237
040,   1524.7320
041,   1524.8353
042,   1524.9419
043,   1525.0475
044,   1525.1533
045,   1525.2598
046,   1525.3634
047,   1525.4707
048,   1525.5768
049,   1525.6817
050,   1525.7882
051,   1525.8929
052,   1526.0001
053,   1526.1042
054,   1526.2093
055,   1526.3149
056,   1526.4199
057,   1526.5267
058,   1526.6303
059,   1526.7359
060,   1526.8423
061,   1526.9472
062,   1527.0534
063,   1527.1565
064,   1527.2622
065,   1527.3672
066,   1527.4719
067,   1527.5776
068,   1527.6814
069,   1527.7875
070,   1527.8919
071,   1527.9966
072,   1528.1025
073,   1528.2057
074,   1528.3116
075,   1528.4160
076,   1528.5207
077,   1528.6258
078,   1528.7284
079,   1528.8350
080,   1528.9392
081,   1529.0437
082,   1529.1487
083,   1529.2515
084,   1529.3572
085,   1529.4608
086,   1529.5649
087,   1529.6699
088,   1529.7730
089,   1529.8786
090,   1529.9822
091,   1530.0862
092,   1530.1917
093,   1530.2941
094,   1530.3993
095,   1530.5027
096,   1530.6054
097,   1530.7096
098,   1530.8125
099,   1530.9172
100,   1531.0209
101,   1531.1244
102,   1531.2291
103,   1531.3314
104,   1531.4367
105,   1531.5400
106,   1531.6431
107,   1531.7469
108,   1531.8491
109,   1531.9536
110,   1532.0570
111,   1532.1599
112,   1532.2642
113,   1532.3661
114,   1532.4700
115,   1532.5736
116,   1532.6775
117,   1532.7810
118,   1532.8820
119,   1532.9856
120,   1533.0890
121,   1533.1922
122,   1533.2963
123,   1533.3973
124,   1533.5011
125,   1533.6044
126,   1533.7061
127,   1533.8111
128,   1533.9118
129,   1534.0145
130,   1534.1172
131,   1534.2186
132,   1534.3238
133,   1534.4256
134,   1534.5278
135,   1534.6313
136,   1534.7328
137,   1534.8362
138,   1534.9377
139,   1535.0396
140,   1535.1429
141,   1535.2435
142,   1535.3469
143,   1535.4494
144,   1535.5511
145,   1535.6546
146,   1535.7553
147,   1535.8582
148,   1535.9613
149,   1536.0617
150,   1536.1647
151,   1536.2655
152,   1536.3669
153,   1536.4696
154,   1536.5704
155,   1536.6737
156,   1536.7752
157,   1536.8767
158,   1536.9791
159,   1537.0797
160,   1537.1814
161,   1537.2830
162,   1537.3835
163,   1537.4863
164,   1537.5870
165,   1537.6885
166,   1537.7902
167,   1537.8904
168,   1537.9934
169,   1538.0939
170,   1538.1956
171,   1538.2970
172,   1538.3967
173,   1538.4983
174,   1538.6000
175,   1538.7010
176,   1538.8027
177,   1538.9026
178,   1539.0035
179,   1539.1046
180,   1539.2051
181,   1539.3068
182,   1539.4069
183,   1539.5079
184,   1539.6090
185,   1539.7082
