Pixel,  Wavelength(nm)
000,   1520.4260
001,   1520.5332
002,   1520.6405
003,   1520.7479
004,   1520.8565
005,   1520.9625
006,   1521.0716
007,   1521.1767
008,   1521.2849
009,   1521.3933
010,   1521.4996
011,   1521.6077
012,   1521.7134
013,   1521.8206
014,   1521.9282
015,   1522.0343
016,   1522.1425
017,   1522.2484
018,   1522.3565
019,   1522.4619
020,   1522.5691
021,   1522.6752
022,   1522.7824
023,   1522.8890
024,   1522.9950
025,   1523.1027
026,   1523.2085
027,   1523.3155
028,   1523.4223
029,   1523.5277
030,   1523.6351
031,   1523.7390
032,   1523.8460
033,   1523.9523
034,   1524.0576
035,   1524.1663
036,   1524.2702
037,   1524.3774
038,   1524.4836
039,   1524.5890
040,   1524.6971
041,   1524.8005
042,   1524.9071
043,   1525.0127
044,   1525.1185
045,   1525.2249
046,   1525.3286
047,   1525.4359
048,   1525.5420
049,   1525.6469
050,   1525.7533
051,   1525.8582
052,   1525.9653
053,   1526.0694
054,   1526.1745
055,   1526.2800
056,   1526.3852
057,   1526.4919
058,   1526.5955
059,   1526.7012
060,   1526.8075
061,   1526.9125
062,   1527.0186
063,   1527.1217
064,   1527.2274
065,   1527.3324
066,   1527.4372
067,   1527.5428
068,   1527.6466
069,   1527.7527
070,   1527.8571
071,   1527.9619
072,   1528.0677
073,   1528.1709
074,   1528.2768
075,   1528.3812
076,   1528.4860
077,   1528.5910
078,   1528.6937
079,   1528.8003
080,   1528.9044
081,   1529.0090
082,   1529.1139
083,   1529.2168
084,   1529.3225
085,   1529.4261
086,   1529.5302
087,   1529.6351
088,   1529.7383
089,   1529.8439
090,   1529.9475
091,   1530.0516
092,   1530.1569
093,   1530.2594
094,   1530.3646
095,   1530.4680
096,   1530.5708
097,   1530.6748
098,   1530.7778
099,   1530.8825
100,   1530.9862
101,   1531.0899
102,   1531.1943
103,   1531.2967
104,   1531.4020
105,   1531.5053
106,   1531.6085
107,   1531.7121
108,   1531.8144
109,   1531.9189
110,   1532.0223
111,   1532.1254
112,   1532.2295
113,   1532.3314
114,   1532.4353
115,   1532.5389
116,   1532.6430
117,   1532.7463
118,   1532.8473
119,   1532.9510
120,   1533.0543
121,   1533.1577
122,   1533.2616
123,   1533.3626
124,   1533.4665
125,   1533.5697
126,   1533.6715
127,   1533.7764
128,   1533.8771
129,   1533.9799
130,   1534.0825
131,   1534.1840
132,   1534.2891
133,   1534.3909
134,   1534.4932
135,   1534.5966
136,   1534.6981
137,   1534.8015
138,   1534.9030
139,   1535.0051
140,   1535.1082
141,   1535.2089
142,   1535.3122
143,   1535.4147
144,   1535.5166
145,   1535.6199
146,   1535.7206
147,   1535.8236
148,   1535.9266
149,   1536.0272
150,   1536.1300
151,   1536.2308
152,   1536.3324
153,   1536.4349
154,   1536.5358
155,   1536.6390
156,   1536.7405
157,   1536.8422
158,   1536.9444
159,   1537.0451
160,   1537.1468
161,   1537.2483
162,   1537.3490
163,   1537.4516
164,   1537.5523
165,   1537.6539
166,   1537.7555
167,   1537.8558
168,   1537.9587
169,   1538.0592
170,   1538.1611
171,   1538.2623
172,   1538.3621
173,   1538.4637
174,   1538.5653
175,   1538.6665
176,   1538.7680
177,   1538.8680
178,   1538.9690
179,   1539.0699
180,   1539.1705
181,   1539.2721
182,   1539.3722
183,   1539.4734
184,   1539.5743
185,   1539.6736
186,   1539.7755
187,   1539.8763
188,   1539.9769
189,   1540.0781
190,   1540.1777
191,   1540.2790
192,   1540.3792
193,   1540.4778
194,   1540.5792
195,   1540.6788
196,   1540.7793
197,   1540.8802
198,   1540.9787
199,   1541.0798
200,   1541.1808
201,   1541.2797
202,   1541.3810
203,   1541.4804
204,   1541.5806
205,   1541.6811
206,   1541.7788
207,   1541.8799
208,   1541.9795
209,   1542.0794
210,   1542.1804
211,   1542.2788
212,   1542.3794
213,   1542.4793
214,   1542.5771
215,   1542.6779
216,   1542.7778
217,   1542.8763
218,   1542.9769
219,   1543.0752
220,   1543.1756
221,   1543.2757
222,   1543.3729
223,   1543.4734
224,   1543.5726
225,   1543.6707
226,   1543.7706
227,   1543.8686
228,   1543.9681
229,   1544.0676
230,   1544.1654
231,   1544.2653
232,   1544.3651
233,   1544.4630
234,   1544.5628
235,   1544.6611
236,   1544.7594
237,   1544.8589
238,   1544.9561
239,   1545.0553
240,   1545.1547
241,   1545.2519
242,   1545.3522
243,   1545.4502
244,   1545.5489
245,   1545.6483
246,   1545.7454
247,   1545.8440
248,   1545.9431
249,   1546.0399
250,   1546.1387
251,   1546.2368
252,   1546.3347
253,   1546.4344
254,   1546.5311
255,   1546.6292
256,   1546.7285
257,   1546.8249
258,   1546.9222
259,   1547.0210
260,   1547.1178
261,   1547.2174
262,   1547.3144
263,   1547.4118
264,   1547.5112
265,   1547.6071
266,   1547.7050
267,   1547.8032
268,   1547.8993
269,   1547.9977
270,   1548.0951
271,   1548.1922
272,   1548.2909
273,   1548.3880
274,   1548.4851
275,   1548.5835
276,   1548.6797
277,   1548.7772
278,   1548.8753
279,   1548.9710
280,   1549.0687
281,   1549.1659
282,   1549.2623
283,   1549.3600
284,   1549.4564
285,   1549.5539
286,   1549.6511
287,   1549.7467
288,   1549.8449
289,   1549.9422
290,   1550.0374
291,   1550.1342
292,   1550.2313
293,   1550.3275
294,   1550.4244
295,   1550.5206
296,   1550.6173
297,   1550.7152
298,   1550.8102
299,   1550.9063
300,   1551.0036
301,   1551.0986
302,   1551.1954
303,   1551.2923
304,   1551.3879
305,   1551.4851
306,   1551.5809
307,   1551.6770
308,   1551.7743
309,   1551.8696
310,   1551.9654
311,   1552.0621
312,   1552.1563
313,   1552.2524
314,   1552.3491
315,   1552.4438
316,   1552.5405
317,   1552.6365
318,   1552.7318
319,   1552.8289
320,   1552.9244
321,   1553.0202
322,   1553.1159
323,   1553.2099
324,   1553.3050
325,   1553.4018
326,   1553.4956
327,   1553.5916
328,   1553.6876
329,   1553.7815
330,   1553.8776
331,   1553.9735
332,   1554.0684
333,   1554.1647
334,   1554.2586
335,   1554.3533
336,   1554.4504
337,   1554.5445
338,   1554.6393
339,   1554.7357
340,   1554.8293
341,   1554.9246
342,   1555.0204
343,   1555.1137
344,   1555.2094
345,   1555.3042
346,   1555.3973
347,   1555.4928
348,   1555.5880
349,   1555.6822
350,   1555.7782
351,   1555.8722
352,   1555.9670
353,   1556.0630
354,   1556.1557
355,   1556.2501
356,   1556.3450
357,   1556.4383
358,   1556.5325
359,   1556.6272
360,   1556.7206
361,   1556.8159
362,   1556.9100
363,   1557.0032
364,   1557.0987
365,   1557.1928
366,   1557.2859
367,   1557.3813
368,   1557.4750
369,   1557.5686
370,   1557.6632
371,   1557.7559
372,   1557.8500
373,   1557.9453
374,   1558.0378
375,   1558.1319
376,   1558.2261
377,   1558.3181
378,   1558.4119
379,   1558.5067
380,   1558.5990
381,   1558.6938
382,   1558.7879
383,   1558.8800
384,   1558.9747
385,   1559.0683
386,   1559.1609
387,   1559.2549
388,   1559.3471
389,   1559.4396
