Open Device Successfully!
Device Count: 1
Device Index: 0
S/N: F1480723
Pixel Count: 512
HW Version: 10000006
FW Version: 10000020
DLL Version: 21502063
Integration Time: 30 us
Line Rate: 5000 Hz
Load Calibration Data Successfully
Pixel,  Wavelength(nm)
000,   1520.4148
001,   1520.5220
002,   1520.6293
003,   1520.7367
004,   1520.8452
005,   1520.9512
006,   1521.0603
007,   1521.1655
008,   1521.2737
009,   1521.3820
010,   1521.4884
011,   1521.5963
012,   1521.7022
013,   1521.8093
014,   1521.9169
015,   1522.0230
016,   1522.1311
017,   1522.2371
018,   1522.3452
019,   1522.4506
020,   1522.5578
021,   1522.6639
022,   1522.7712
023,   1522.8777
024,   1522.9838
025,   1523.0915
026,   1523.1973
027,   1523.3043
028,   1523.4110
029,   1523.5165
030,   1523.6238
031,   1523.7277
032,   1523.8347
033,   1523.9410
034,   1524.0464
035,   1524.1550
036,   1524.2589
037,   1524.3661
038,   1524.4723
039,   1524.5777
040,   1524.6859
041,   1524.7892
042,   1524.8958
043,   1525.0014
044,   1525.1073
045,   1525.2136
046,   1525.3174
047,   1525.4246
048,   1525.5307
049,   1525.6357
050,   1525.7420
051,   1525.8469
052,   1525.9540
053,   1526.0582
054,   1526.1633
055,   1526.2688
056,   1526.3739
057,   1526.4806
058,   1526.5842
059,   1526.6899
060,   1526.7962
061,   1526.9013
062,   1527.0073
063,   1527.1104
064,   1527.2162
065,   1527.3211
066,   1527.4259
067,   1527.5315
068,   1527.6354
069,   1527.7415
070,   1527.8458
071,   1527.9507
072,   1528.0565
073,   1528.1597
074,   1528.2656
075,   1528.3700
076,   1528.4748
077,   1528.5798
078,   1528.6824
079,   1528.7890
080,   1528.8932
081,   1528.9977
082,   1529.1026
083,   1529.2055
084,   1529.3112
085,   1529.4148
086,   1529.5190
087,   1529.6238
088,   1529.7270
089,   1529.8326
090,   1529.9362
091,   1530.0404
092,   1530.1456
093,   1530.2482
094,   1530.3533
095,   1530.4567
096,   1530.5596
097,   1530.6636
098,   1530.7666
099,   1530.8712
100,   1530.9749
101,   1531.0786
102,   1531.1831
103,   1531.2855
104,   1531.3907
105,   1531.4940
106,   1531.5973
107,   1531.7009
108,   1531.8032
109,   1531.9077
110,   1532.0110
111,   1532.1142
112,   1532.2182
113,   1532.3202
114,   1532.4241
115,   1532.5276
116,   1532.6317
117,   1532.7350
118,   1532.8361
119,   1532.9398
120,   1533.0430
121,   1533.1464
122,   1533.2504
123,   1533.3514
124,   1533.4553
125,   1533.5584
126,   1533.6603
127,   1533.7652
128,   1533.8659
129,   1533.9687
130,   1534.0712
131,   1534.1728
132,   1534.2779
133,   1534.3797
134,   1534.4820
135,   1534.5853
136,   1534.6869
137,   1534.7903
138,   1534.8918
139,   1534.9938
140,   1535.0969
141,   1535.1977
142,   1535.3010
143,   1535.4034
144,   1535.5054
145,   1535.6087
146,   1535.7094
147,   1535.8124
148,   1535.9153
149,   1536.0160
150,   1536.1188
151,   1536.2196
152,   1536.3211
153,   1536.4236
154,   1536.5246
155,   1536.6278
156,   1536.7293
157,   1536.8310
158,   1536.9331
159,   1537.0339
160,   1537.1356
161,   1537.2371
162,   1537.3378
163,   1537.4403
164,   1537.5411
165,   1537.6427
166,   1537.7442
167,   1537.8446
168,   1537.9475
169,   1538.0480
170,   1538.1499
171,   1538.2510
172,   1538.3509
173,   1538.4525
174,   1538.5540
175,   1538.6553
176,   1538.7567
177,   1538.8568
178,   1538.9577
179,   1539.0586
180,   1539.1593
181,   1539.2609
182,   1539.3610
183,   1539.4621
184,   1539.5631
185,   1539.6624
186,   1539.7643
187,   1539.8650
188,   1539.9656
189,   1540.0669
190,   1540.1664
191,   1540.2677
192,   1540.3679
193,   1540.4666
194,   1540.5680
195,   1540.6676
196,   1540.7680
197,   1540.8690
198,   1540.9675
199,   1541.0685
200,   1541.1696
201,   1541.2685
202,   1541.3698
203,   1541.4692
204,   1541.5694
205,   1541.6699
206,   1541.7676
207,   1541.8687
208,   1541.9682
209,   1542.0682
210,   1542.1692
211,   1542.2676
212,   1542.3681
213,   1542.4681
214,   1542.5659
215,   1542.6667
216,   1542.7666
217,   1542.8651
218,   1542.9657
219,   1543.0640
220,   1543.1643
221,   1543.2644
222,   1543.3617
223,   1543.4622
224,   1543.5614
225,   1543.6595
226,   1543.7594
227,   1543.8574
228,   1543.9568
229,   1544.0564
230,   1544.1542
231,   1544.2541
232,   1544.3539
233,   1544.4517
234,   1544.5516
235,   1544.6499
236,   1544.7482
237,   1544.8476
238,   1544.9449
239,   1545.0441
240,   1545.1435
241,   1545.2407
242,   1545.3409
243,   1545.4390
244,   1545.5377
245,   1545.6370
246,   1545.7342
247,   1545.8328
248,   1545.9318
249,   1546.0287
250,   1546.1274
251,   1546.2255
252,   1546.3235
253,   1546.4231
254,   1546.5198
255,   1546.6180
256,   1546.7172
257,   1546.8137
258,   1546.9109
259,   1547.0097
260,   1547.1066
261,   1547.2061
262,   1547.3031
263,   1547.4006
264,   1547.4999
265,   1547.5958
266,   1547.6937
267,   1547.7920
268,   1547.8881
269,   1547.9864
270,   1548.0838
271,   1548.1810
272,   1548.2797
273,   1548.3767
274,   1548.4739
275,   1548.5722
276,   1548.6685
277,   1548.7659
278,   1548.8641
279,   1548.9598
280,   1549.0574
281,   1549.1546
282,   1549.2511
283,   1549.3488
284,   1549.4451
285,   1549.5426
286,   1549.6399
287,   1549.7354
288,   1549.8336
289,   1549.9309
290,   1550.0261
291,   1550.1230
292,   1550.2200
293,   1550.3163
294,   1550.4132
295,   1550.5093
296,   1550.6060
297,   1550.7039
298,   1550.7989
299,   1550.8950
300,   1550.9923
301,   1551.0873
302,   1551.1841
303,   1551.2810
304,   1551.3767
305,   1551.4738
306,   1551.5697
307,   1551.6657
308,   1551.7630
309,   1551.8583
310,   1551.9541
311,   1552.0508
312,   1552.1451
313,   1552.2411
314,   1552.3378
315,   1552.4325
316,   1552.5293
317,   1552.6252
318,   1552.7205
319,   1552.8176
320,   1552.9131
321,   1553.0089
322,   1553.1046
323,   1553.1987
324,   1553.2938
325,   1553.3905
326,   1553.4843
327,   1553.5804
328,   1553.6763
329,   1553.7702
330,   1553.8663
331,   1553.9622
332,   1554.0572
333,   1554.1534
334,   1554.2474
335,   1554.3421
336,   1554.4391
337,   1554.5332
338,   1554.6281
339,   1554.7244
340,   1554.8180
341,   1554.9133
342,   1555.0091
343,   1555.1024
344,   1555.1981
345,   1555.2929
346,   1555.3860
347,   1555.4815
348,   1555.5767
349,   1555.6709
350,   1555.7669
351,   1555.8609
352,   1555.9557
353,   1556.0517
354,   1556.1444
355,   1556.2388
356,   1556.3336
357,   1556.4270
358,   1556.5212
359,   1556.6159
360,   1556.7093
361,   1556.8046
362,   1556.8987
363,   1556.9919
364,   1557.0874
365,   1557.1815
366,   1557.2746
367,   1557.3700
368,   1557.4637
369,   1557.5573
370,   1557.6519
371,   1557.7446
372,   1557.8387
373,   1557.9340
374,   1558.0265
375,   1558.1206
376,   1558.2147
377,   1558.3067
378,   1558.4006
379,   1558.4954
380,   1558.5877
381,   1558.6825
382,   1558.7766
383,   1558.8687
384,   1558.9634
385,   1559.0570
386,   1559.1496
387,   1559.2436
388,   1559.3358
389,   1559.4283
390,   1559.5223
391,   1559.6147
392,   1559.7083
393,   1559.8020
394,   1559.8943
395,   1559.9878
396,   1560.0817
397,   1560.1741
398,   1560.2668
399,   1560.3603
400,   1560.4526
401,   1560.5459
402,   1560.6388
403,   1560.7306
404,   1560.8245
405,   1560.9175
406,   1561.0090
407,   1561.1020
408,   1561.1948
409,   1561.2863
410,   1561.3792
411,   1561.4715
412,   1561.5639
413,   1561.6572
414,   1561.7494
415,   1561.8413
416,   1561.9344
417,   1562.0267
418,   1562.1189
419,   1562.2112
420,   1562.3030
421,   1562.3947
422,   1562.4870
423,   1562.5789
424,   1562.6711
425,   1562.7630
426,   1562.8557
427,   1562.9474
428,   1563.0399
429,   1563.1317
430,   1563.2228
431,   1563.3144
432,   1563.4063
433,   1563.4976
434,   1563.5890
435,   1563.6814
436,   1563.7734
437,   1563.8649
438,   1563.9563
439,   1564.0475
440,   1564.1395
441,   1564.2309
442,   1564.3211
443,   1564.4130
444,   1564.5050
445,   1564.5957
446,   1564.6872
447,   1564.7788
448,   1564.8696
449,   1564.9616
450,   1565.0523
451,   1565.1432
452,   1565.2349
453,   1565.3255
454,   1565.4157
455,   1565.5070
456,   1565.5980
457,   1565.6880
458,   1565.7801
459,   1565.8702
460,   1565.9610
461,   1566.0528
462,   1566.1433
463,   1566.2329
464,   1566.3241
465,   1566.4140
466,   1566.5039
467,   1566.5958
468,   1566.6859
469,   1566.7764
470,   1566.8676
471,   1566.9574
472,   1567.0478
473,   1567.1389
474,   1567.2282
475,   1567.3180
476,   1567.4091
477,   1567.4981
478,   1567.5882
479,   1567.6789
480,   1567.7690
481,   1567.8589
482,   1567.9493
483,   1568.0390
484,   1568.1292
485,   1568.2194
486,   1568.3090
487,   1568.3987
488,   1568.4884
489,   1568.5783
490,   1568.6671
491,   1568.7566
492,   1568.8467
493,   1568.9366
494,   1569.0263
495,   1569.1155
496,   1569.2043
497,   1569.2939
498,   1569.3840
499,   1569.4736
500,   1569.5633
501,   1569.6533
502,   1569.7422
503,   1569.8312
504,   1569.9203
505,   1570.0093
506,   1570.0978
507,   1570.1877
508,   1570.2761
509,   1570.3653
510,   1570.4543
511,   1570.5433
Case Temperature: 28.804
Wavelength, Intensity
1520.415,    2990
1520.522,    3287
1520.629,    3273
1520.737,    3281
1520.845,    3272
1520.951,    3279
1521.060,    3280
1521.165,    3279
1521.274,    3290
1521.382,    3268
1521.488,    3260
1521.596,    3272
1521.702,    3266
1521.809,    3272
1521.917,    3278
1522.023,    3270
1522.131,    3268
1522.237,    3271
