Integration Time: 500 us
Line Rate: 1600 Hz
Load Calibration Data Successfully
Pixel,  Wavelength(nm)
000,   1520.4162
001,   1520.5234
002,   1520.6307
003,   1520.7381
004,   1520.8466
005,   1520.9526
006,   1521.0617
007,   1521.1669
008,   1521.2751
009,   1521.3834
010,   1521.4898
011,   1521.5977
012,   1521.7036
013,   1521.8107
014,   1521.9183
015,   1522.0244
016,   1522.1326
017,   1522.2385
018,   1522.3466
019,   1522.4520
020,   1522.5592
021,   1522.6653
022,   1522.7726
023,   1522.8791
024,   1522.9852
025,   1523.0929
026,   1523.1987
027,   1523.3057
028,   1523.4124
029,   1523.5178
030,   1523.6252
031,   1523.7291
032,   1523.8361
033,   1523.9424
034,   1524.0478
035,   1524.1564
036,   1524.2603
037,   1524.3675
038,   1524.4737
039,   1524.5791
040,   1524.6873
041,   1524.7906
042,   1524.8972
043,   1525.0028
044,   1525.1087
045,   1525.2150
046,   1525.3188
047,   1525.4260
048,   1525.5321
049,   1525.6371
050,   1525.7434
051,   1525.8483
052,   1525.9554
053,   1526.0596
054,   1526.1647
055,   1526.2702
056,   1526.3753
057,   1526.4820
058,   1526.5856
059,   1526.6913
060,   1526.7976
061,   1526.9027
062,   1527.0087
063,   1527.1118
064,   1527.2176
065,   1527.3225
066,   1527.4273
067,   1527.5329
068,   1527.6368
069,   1527.7429
070,   1527.8472
071,   1527.9520
072,   1528.0578
073,   1528.1611
074,   1528.2670
075,   1528.3714
076,   1528.4761
077,   1528.5812
078,   1528.6838
079,   1528.7904
080,   1528.8946
081,   1528.9991
082,   1529.1040
083,   1529.2069
084,   1529.3126
085,   1529.4162
086,   1529.5204
087,   1529.6252
088,   1529.7284
089,   1529.8340
090,   1529.9376
091,   1530.0418
092,   1530.1470
093,   1530.2495
094,   1530.3547
095,   1530.4581
096,   1530.5610
097,   1530.6650
098,   1530.7680
099,   1530.8726
100,   1530.9763
101,   1531.0800
102,   1531.1845
103,   1531.2869
104,   1531.3921
105,   1531.4954
106,   1531.5987
