Pixel,  Wavelength(nm)
000,   1520.4310
001,   1520.5382
002,   1520.6455
003,   1520.7529
004,   1520.8615
005,   1520.9675
006,   1521.0766
007,   1521.1817
008,   1521.2899
009,   1521.3983
010,   1521.5046
011,   1521.6127
012,   1521.7184
013,   1521.8256
014,   1521.9332
015,   1522.0393
016,   1522.1475
017,   1522.2534
018,   1522.3615
019,   1522.4669
020,   1522.5741
021,   1522.6802
022,   1522.7874
023,   1522.8940
024,   1523.0000
025,   1523.1077
026,   1523.2135
027,   1523.3205
028,   1523.4273
029,   1523.5327
030,   1523.6401
031,   1523.7439
032,   1523.8510
033,   1523.9572
034,   1524.0626
035,   1524.1712
036,   1524.2752
037,   1524.3824
038,   1524.4886
039,   1524.5939
040,   1524.7021
041,   1524.8055
042,   1524.9121
043,   1525.0177
044,   1525.1235
045,   1525.2299
046,   1525.3336
047,   1525.4409
048,   1525.5470
049,   1525.6519
050,   1525.7583
051,   1525.8631
052,   1525.9703
053,   1526.0744
054,   1526.1795
055,   1526.2850
056,   1526.3901
057,   1526.4969
058,   1526.6005
059,   1526.7061
060,   1526.8124
061,   1526.9175
062,   1527.0236
063,   1527.1267
064,   1527.2324
065,   1527.3374
066,   1527.4421
067,   1527.5478
068,   1527.6516
069,   1527.7577
070,   1527.8621
071,   1527.9668
072,   1528.0727
073,   1528.1759
074,   1528.2818
075,   1528.3862
076,   1528.4909
077,   1528.5960
078,   1528.6986
079,   1528.8052
080,   1528.9094
081,   1529.0139
082,   1529.1189
083,   1529.2217
084,   1529.3274
085,   1529.4310
086,   1529.5352
087,   1529.6401
088,   1529.7432
089,   1529.8488
090,   1529.9524
091,   1530.0566
092,   1530.1619
093,   1530.2643
094,   1530.3695
095,   1530.4729
096,   1530.5758
097,   1530.6798
098,   1530.7828
099,   1530.8874
100,   1530.9911
101,   1531.0948
102,   1531.1993
103,   1531.3017
104,   1531.4069
105,   1531.5102
106,   1531.6135
107,   1531.7171
108,   1531.8194
109,   1531.9239
110,   1532.0272
111,   1532.1303
112,   1532.2344
113,   1532.3364
114,   1532.4403
115,   1532.5438
116,   1532.6479
117,   1532.7512
118,   1532.8523
119,   1532.9560
120,   1533.0592
121,   1533.1626
122,   1533.2666
123,   1533.3676
124,   1533.4715
125,   1533.5746
126,   1533.6765
127,   1533.7814
128,   1533.8821
129,   1533.9849
130,   1534.0874
131,   1534.1890
132,   1534.2941
133,   1534.3959
134,   1534.4982
135,   1534.6015
136,   1534.7031
137,   1534.8065
138,   1534.9080
139,   1535.0100
140,   1535.1131
141,   1535.2139
142,   1535.3172
143,   1535.4197
144,   1535.5215
145,   1535.6249
146,   1535.7256
147,   1535.8286
148,   1535.9315
149,   1536.0321
150,   1536.1350
151,   1536.2358
152,   1536.3373
153,   1536.4398
154,   1536.5408
155,   1536.6440
156,   1536.7455
157,   1536.8471
158,   1536.9493
159,   1537.0501
160,   1537.1518
161,   1537.2533
162,   1537.3539
163,   1537.4565
164,   1537.5573
165,   1537.6589
166,   1537.7604
167,   1537.8608
168,   1537.9637
169,   1538.0642
170,   1538.1660
171,   1538.2672
172,   1538.3671
173,   1538.4687
174,   1538.5702
175,   1538.6714
176,   1538.7730
177,   1538.8730
178,   1538.9739
179,   1539.0748
180,   1539.1755
181,   1539.2771
182,   1539.3772
183,   1539.4783
184,   1539.5793
185,   1539.6786
186,   1539.7805
187,   1539.8812
188,   1539.9818
189,   1540.0831
190,   1540.1826
191,   1540.2839
192,   1540.3842
193,   1540.4828
194,   1540.5842
195,   1540.6838
196,   1540.7842
197,   1540.8852
198,   1540.9837
199,   1541.0847
200,   1541.1858
201,   1541.2847
202,   1541.3860
203,   1541.4854
204,   1541.5855
205,   1541.6861
206,   1541.7838
207,   1541.8849
208,   1541.9845
209,   1542.0844
210,   1542.1854
211,   1542.2838
212,   1542.3843
213,   1542.4843
214,   1542.5821
215,   1542.6829
216,   1542.7828
217,   1542.8813
218,   1542.9819
219,   1543.0802
220,   1543.1805
221,   1543.2807
222,   1543.3779
223,   1543.4784
224,   1543.5776
225,   1543.6757
226,   1543.7756
227,   1543.8736
228,   1543.9730
229,   1544.0726
230,   1544.1704
231,   1544.2703
232,   1544.3701
233,   1544.4679
234,   1544.5678
235,   1544.6661
236,   1544.7644
237,   1544.8638
238,   1544.9611
239,   1545.0603
240,   1545.1597
241,   1545.2569
242,   1545.3572
243,   1545.4552
244,   1545.5539
245,   1545.6533
246,   1545.7504
247,   1545.8490
248,   1545.9481
249,   1546.0449
250,   1546.1437
251,   1546.2418
252,   1546.3397
253,   1546.4393
254,   1546.5361
255,   1546.6342
256,   1546.7334
257,   1546.8299
258,   1546.9272
259,   1547.0259
260,   1547.1228
261,   1547.2223
262,   1547.3194
263,   1547.4168
264,   1547.5161
265,   1547.6121
266,   1547.7100
267,   1547.8082
268,   1547.9043
269,   1548.0027
270,   1548.1000
271,   1548.1972
272,   1548.2959
273,   1548.3930
274,   1548.4901
275,   1548.5884
