Open Device Successfully!
Device Count: 1
Device Index: 0
S/N: F1480723
Pixel Count: 512
HW Version: 10000006
FW Version: 10000020
DLL Version: 21502063
Integration Time: 30 us
Line Rate: 5000 Hz
Load Calibration Data Successfully
Pixel,  Wavelength(nm)
000,   1520.4346
001,   1520.5418
002,   1520.6491
003,   1520.7565
004,   1520.8651
005,   1520.9710
006,   1521.0802
007,   1521.1853
008,   1521.2935
009,   1521.4019
010,   1521.5082
011,   1521.6162
012,   1521.7220
013,   1521.8292
014,   1521.9368
015,   1522.0428
016,   1522.1510
017,   1522.2569
018,   1522.3651
019,   1522.4705
020,   1522.5776
021,   1522.6838
022,   1522.7910
023,   1522.8976
024,   1523.0036
025,   1523.1113
026,   1523.2171
027,   1523.3241
028,   1523.4309
029,   1523.5363
030,   1523.6436
031,   1523.7475
032,   1523.8545
033,   1523.9608
034,   1524.0662
035,   1524.1748
036,   1524.2787
037,   1524.3859
038,   1524.4921
039,   1524.5975
040,   1524.7057
041,   1524.8090
042,   1524.9156
043,   1525.0212
044,   1525.1271
045,   1525.2335
046,   1525.3372
047,   1525.4444
048,   1525.5505
049,   1525.6555
050,   1525.7619
051,   1525.8667
052,   1525.9738
053,   1526.0780
054,   1526.1831
055,   1526.2886
056,   1526.3937
057,   1526.5005
058,   1526.6041
059,   1526.7097
060,   1526.8160
061,   1526.9210
062,   1527.0271
063,   1527.1303
064,   1527.2360
065,   1527.3409
066,   1527.4457
067,   1527.5513
068,   1527.6552
069,   1527.7613
070,   1527.8657
071,   1527.9704
072,   1528.0763
073,   1528.1795
074,   1528.2854
075,   1528.3898
076,   1528.4945
077,   1528.5996
078,   1528.7022
079,   1528.8088
080,   1528.9130
081,   1529.0175
082,   1529.1225
083,   1529.2253
084,   1529.3310
085,   1529.4346
086,   1529.5387
087,   1529.6437
088,   1529.7468
089,   1529.8524
090,   1529.9560
091,   1530.0601
092,   1530.1655
093,   1530.2679
094,   1530.3731
095,   1530.4765
096,   1530.5793
097,   1530.6834
098,   1530.7863
099,   1530.8910
100,   1530.9947
101,   1531.0984
102,   1531.2029
103,   1531.3052
104,   1531.4105
105,   1531.5138
106,   1531.6171
107,   1531.7207
108,   1531.8229
109,   1531.9274
110,   1532.0308
111,   1532.1339
112,   1532.2380
113,   1532.3399
114,   1532.4438
115,   1532.5474
116,   1532.6515
117,   1532.7548
118,   1532.8558
119,   1532.9595
120,   1533.0628
121,   1533.1662
122,   1533.2701
123,   1533.3711
124,   1533.4750
125,   1533.5782
126,   1533.6801
127,   1533.7849
128,   1533.8856
129,   1533.9885
130,   1534.0910
131,   1534.1925
132,   1534.2976
133,   1534.3994
134,   1534.5018
135,   1534.6051
136,   1534.7066
137,   1534.8100
138,   1534.9115
139,   1535.0136
140,   1535.1167
141,   1535.2174
142,   1535.3207
143,   1535.4232
144,   1535.5251
145,   1535.6284
146,   1535.7291
147,   1535.8321
148,   1535.9351
149,   1536.0357
150,   1536.1385
151,   1536.2393
152,   1536.3409
153,   1536.4434
154,   1536.5444
155,   1536.6475
156,   1536.7490
157,   1536.8507
158,   1536.9529
159,   1537.0536
160,   1537.1553
161,   1537.2568
162,   1537.3575
163,   1537.4601
164,   1537.5608
165,   1537.6624
166,   1537.7640
167,   1537.8644
168,   1537.9672
169,   1538.0677
170,   1538.1696
171,   1538.2708
172,   1538.3706
173,   1538.4723
174,   1538.5738
175,   1538.6750
176,   1538.7765
177,   1538.8765
178,   1538.9775
179,   1539.0784
180,   1539.1791
181,   1539.2806
182,   1539.3807
183,   1539.4819
184,   1539.5828
185,   1539.6821
186,   1539.7841
187,   1539.8848
188,   1539.9854
189,   1540.0866
190,   1540.1862
191,   1540.2875
192,   1540.3877
193,   1540.4863
194,   1540.5878
195,   1540.6873
196,   1540.7878
197,   1540.8887
198,   1540.9872
199,   1541.0883
200,   1541.1893
201,   1541.2883
202,   1541.3896
203,   1541.4889
204,   1541.5891
205,   1541.6896
206,   1541.7873
207,   1541.8885
208,   1541.9880
209,   1542.0880
210,   1542.1889
211,   1542.2873
212,   1542.3879
213,   1542.4878
214,   1542.5856
215,   1542.6865
216,   1542.7863
217,   1542.8849
218,   1542.9854
219,   1543.0837
220,   1543.1841
221,   1543.2842
222,   1543.3815
223,   1543.4819
224,   1543.5811
225,   1543.6793
226,   1543.7791
227,   1543.8771
228,   1543.9766
229,   1544.0761
230,   1544.1739
231,   1544.2738
232,   1544.3736
233,   1544.4715
234,   1544.5713
235,   1544.6696
236,   1544.7680
237,   1544.8674
238,   1544.9646
239,   1545.0638
240,   1545.1632
241,   1545.2605
242,   1545.3607
243,   1545.4587
244,   1545.5575
245,   1545.6568
246,   1545.7539
247,   1545.8526
248,   1545.9516
249,   1546.0485
250,   1546.1472
251,   1546.2453
252,   1546.3433
253,   1546.4429
254,   1546.5396
255,   1546.6377
256,   1546.7370
257,   1546.8334
258,   1546.9307
259,   1547.0295
