Open Device Successfully!
Device Count: 1
Device Index: 0
S/N: F1480723
Pixel Count: 512
HW Version: 10000006
FW Version: 10000020
DLL Version: 21502063
Load Calibration Data Successfully
Integration Time: 20 us
Line Rate: 5000 Hz
Pixel,  Wavelength(nm)
000,   1520.5988
001,   1520.7060
002,   1520.8133
003,   1520.9207
004,   1521.0294
005,   1521.1349
006,   1521.2442
007,   1521.3494
008,   1521.4576
009,   1521.5660
010,   1521.6716
011,   1521.7805
012,   1521.8855
013,   1521.9933
014,   1522.1007
015,   1522.2065
016,   1522.3153
017,   1522.4204
018,   1522.5289
019,   1522.6344
020,   1522.7412
021,   1522.8477
022,   1522.9541
023,   1523.0613
024,   1523.1674
025,   1523.2745
026,   1523.3808
027,   1523.4872
028,   1523.5948
029,   1523.6996
030,   1523.8070
031,   1523.9111
032,   1524.0179
033,   1524.1243
034,   1524.2292
035,   1524.3381
036,   1524.4422
037,   1524.5493
038,   1524.6554
039,   1524.7604
040,   1524.8691
041,   1524.9724
042,   1525.0788
043,   1525.1845
044,   1525.2900
045,   1525.3970
046,   1525.5002
047,   1525.6076
048,   1525.7136
049,   1525.8184
050,   1525.9253
051,   1526.0294
052,   1526.1369
053,   1526.2409
054,   1526.3460
055,   1526.4519
056,   1526.5564
057,   1526.6633
058,   1526.7670
059,   1526.8724
060,   1526.9792
061,   1527.0834
062,   1527.1900
063,   1527.2932
064,   1527.3986
065,   1527.5040
066,   1527.6081
067,   1527.7142
068,   1527.8180
069,   1527.9238
070,   1528.0284
071,   1528.1327
072,   1528.2389
073,   1528.3421
074,   1528.4478
075,   1528.5523
076,   1528.6567
077,   1528.7621
078,   1528.8647
079,   1528.9711
080,   1529.0754
081,   1529.1797
082,   1529.2850
083,   1529.3877
084,   1529.4933
085,   1529.5969
086,   1529.7007
087,   1529.8061
088,   1529.9090
089,   1530.0146
090,   1530.1182
091,   1530.2219
092,   1530.3279
093,   1530.4301
094,   1530.5352
095,   1530.6387
096,   1530.7411
097,   1530.8457
098,   1530.9483
099,   1531.0530
100,   1531.1568
101,   1531.2600
102,   1531.3650
103,   1531.4672
104,   1531.5725
105,   1531.6759
106,   1531.7787
107,   1531.8828
108,   1531.9850
109,   1532.0893
110,   1532.1929
111,   1532.2954
112,   1532.4000
113,   1532.5019
114,   1532.6056
115,   1532.7094
116,   1532.8129
117,   1532.9166
118,   1533.0178
119,   1533.1213
120,   1533.2249
121,   1533.3277
122,   1533.4318
123,   1533.5330
124,   1533.6367
125,   1533.7401
126,   1533.8417
127,   1533.9465
128,   1534.0474
129,   1534.1499
130,   1534.2528
131,   1534.3543
132,   1534.4593
133,   1534.5611
134,   1534.6632
135,   1534.7669
136,   1534.8683
137,   1534.9716
138,   1535.0732
139,   1535.1749
140,   1535.2784
141,   1535.3791
142,   1535.4823
143,   1535.5850
144,   1535.6864
145,   1535.7900
146,   1535.8908
147,   1535.9937
148,   1536.0969
149,   1536.1970
150,   1536.3000
151,   1536.4009
152,   1536.5022
153,   1536.6052
154,   1536.7058
155,   1536.8090
156,   1536.9107
157,   1537.0119
158,   1537.1147
159,   1537.2152
160,   1537.3168
161,   1537.4184
162,   1537.5187
163,   1537.6216
164,   1537.7224
165,   1537.8238
166,   1537.9257
167,   1538.0257
