Case Temperature: 31.392
Wavelength, Intensity
1520.454,    3047
1520.561,    3348
1520.668,    3342
1520.775,    3359
1520.884,    3363
1520.990,    3354
1521.099,    3351
1521.204,    3359
1521.312,    3332
1521.421,    3364
1521.527,    3335
1521.635,    3340
1521.741,    3343
1521.848,    3329
1521.956,    3356
1522.062,    3355
1522.170,    3361
1522.276,    3351
1522.384,    3349
1522.489,    3375
1522.597,    3363
1522.703,    3360
1522.810,    3329
1522.917,    3351
1523.023,    3345
1523.130,    3349
1523.236,    3332
1523.343,    3373
1523.450,    3350
1523.555,    3358
1523.663,    3343
1523.766,    3367
1523.873,    3344
1523.980,    3353
1524.085,    3350
1524.194,    3387
1524.298,    3360
1524.405,    3388
1524.511,    3363
1524.616,    3383
1524.725,    3351
1524.828,    3374
1524.935,    3370
1525.040,    3385
1525.146,    3379
1525.252,    3378
1525.356,    3370
1525.463,    3414
1525.569,    3368
1525.674,    3390
1525.781,    3403
1525.886,    3421
1525.993,    3389
1526.097,    3416
1526.202,    3395
1526.308,    3441
1526.413,    3413
1526.519,    3420
1526.623,    3413
1526.729,    3423
1526.835,    3396
1526.940,    3433
1527.046,    3403
1527.149,    3425
1527.255,    3412
1527.360,    3424
1527.465,    3400
1527.570,    3408
1527.674,    3412
1527.780,    3438
1527.885,    3406
1527.989,    3416
1528.095,    3399
1528.198,    3423
1528.304,    3417
1528.409,    3405
1528.513,    3406
1528.618,    3418
1528.721,    3406
1528.828,    3423
1528.932,    3405
1529.036,    3407
1529.141,    3404
1529.244,    3400
1529.350,    3394
1529.453,    3387
1529.558,    3382
1529.663,    3375
1529.766,    3391
1529.871,    3378
1529.975,    3379
1530.079,    3371
1530.184,    3362
1530.287,    3385
1530.392,    3364
1530.495,    3371
1530.598,    3355
1530.702,    3368
1530.805,    3363
1530.910,    3358
1531.014,    3347
1531.117,    3339
1531.222,    3362
1531.324,    3336
1531.429,    3341
1531.533,    3342
1531.636,    3351
1531.740,    3356
1531.842,    3356
1531.946,    3345
1532.050,    3337
1532.153,    3347
1532.257,    3336
1532.359,    3332
1532.463,    3341
1532.566,    3346
1532.670,    3353
1532.774,    3346
1532.875,    3353
1532.978,    3336
1533.082,    3337
1533.185,    3353
1533.289,    3339
1533.390,    3335
1533.494,    3334
1533.597,    3343
1533.699,    3342
1533.804,    3338
1533.904,    3333
1534.007,    3339
1534.110,    3349
1534.211,    3372
1534.316,    3350
1534.418,    3360
1534.521,    3343
1534.624,    3370
1534.725,    3344
1534.829,    3380
1534.930,    3369
1535.032,    3357
1535.136,    3353
1535.236,    3389
1535.340,    3350
1535.442,    3393
1535.544,    3356
1535.647,    3385
1535.748,    3377
1535.851,    3396
1535.954,    3389
1536.054,    3385
1536.157,    3385
1536.258,    3401
1536.360,    3384
1536.462,    3404
1536.563,    3394
1536.666,    3402
1536.768,    3404
1536.869,    3400
1536.972,    3387
1537.072,    3390
1537.174,    3399
1537.276,    3425
1537.376,    3398
1537.479,    3393
1537.580,    3393
1537.681,    3418
1537.783,    3381
1537.883,    3404
1537.986,    3396
1538.087,    3395
1538.188,    3407
1538.290,    3419
1538.389,    3378
1538.491,    3414
1538.593,    3388
1538.694,    3406
1538.795,    3377
1538.895,    3389
1538.996,    3381
1539.097,    3383
1539.198,    3397
1539.299,    3377
1539.400,    3376
1539.501,    3384
1539.602,    3361
1539.701,    3370
1539.803,    3359
1539.904,    3360
1540.004,    3362
1540.105,    3368
1540.205,    3375
1540.306,    3361
1540.407,    3352
1540.505,    3355
1540.607,    3340
1540.706,    3353
1540.807,    3356
1540.908,    3330
1541.006,    3343
1541.107,    3323
1541.208,    3327
1541.307,    3311
1541.408,    3325
1541.508,    3335
1541.608,    3328
1541.708,    3307
1541.806,    3314
1541.907,    3314
1542.007,    3327
1542.107,    3318
1542.208,    3317
1542.306,    3315
1542.407,    3308
1542.507,    3330
1542.604,    3330
1542.705,    3298
1542.805,    3306
1542.904,    3305
1543.004,    3335
1543.103,    3352
1543.203,    3394
1543.303,    3486
1543.400,    3421
1543.501,    3338
1543.600,    3332
1543.698,    3328
1543.798,    3304
1543.896,    3330
1543.995,    3314
1544.095,    3342
1544.193,    3315
1544.293,    3329
1544.392,    3333
1544.490,    3337
1544.590,    3326
1544.688,    3370
1544.787,    3342
1544.886,    3354
1544.983,    3347
1545.083,    3346
1545.182,    3333
1545.279,    3354
1545.380,    3345
1545.478,    3364
1545.576,    3343
1545.676,    3365
1545.773,    3345
1545.871,    3377
1545.970,    3347
1546.067,    3369
1546.166,    3360
1546.264,    3382
1546.362,    3379
1546.462,    3352
1546.558,    3344
1546.657,    3379
1546.756,    3373
1546.852,    3369
1546.950,    3367
1547.048,    3384
1547.145,    3362
1547.245,    3372
1547.342,    3365
1547.439,    3382
1547.539,    3361
1547.634,    3387
1547.732,    3362
1547.831,    3348
1547.927,    3356
1548.025,    3374
1548.122,    3371
1548.220,    3352
1548.318,    3361
1548.415,    3382
1548.512,    3381
1548.611,    3370
1548.707,    3355
1548.805,    3368
1548.903,    3353
1548.998,    3364
1549.096,    3341
1549.193,    3357
1549.290,    3358
1549.387,    3350
1549.484,    3338
1549.581,    3356
1549.679,    3346
1549.774,    3342
1549.872,    3322
1549.970,    3323
1550.065,    3316
1550.162,    3305
1550.259,    3310
1550.355,    3310
1550.452,    3318
1550.548,    3296
1550.645,    3322
1550.743,    3303
1550.838,    3276
1550.934,    3303
1551.031,    3299
1551.126,    3300
1551.223,    3281
1551.320,    3306
1551.415,    3310
1551.513,    3266
1551.608,    3291
1551.704,    3289
1551.802,    3285
1551.897,    3292
1551.993,    3300
1552.090,    3290
1552.184,    3272
1552.280,    3293
1552.377,    3303
1552.471,    3311
1552.568,    3312
1552.664,    3288
1552.759,    3287
1552.856,    3291
1552.952,    3288
1553.048,    3304
1553.143,    3280
1553.237,    3301
1553.332,    3288
1553.429,    3319
1553.523,    3295
1553.619,    3305
1553.715,    3314
1553.809,    3323
1553.905,    3314
1554.001,    3319
1554.096,    3286
1554.192,    3323
1554.286,    3314
1554.381,    3320
1554.478,    3306
1554.572,    3327
1554.667,    3308
1554.763,    3342
1554.857,    3338
1554.952,    3357
1555.048,    3317
1555.141,    3349
1555.237,    3338
1555.332,    3361
1555.425,    3341
1555.520,    3359
1555.615,    3352
1555.710,    3354
1555.806,    3336
1555.900,    3371
1555.994,    3355
1556.090,    3368
1556.183,    3362
1556.278,    3366
1556.372,    3360
1556.466,    3366
1556.560,    3347
1556.655,    3359
1556.748,    3347
1556.843,    3344
1556.937,    3337
1557.031,    3372
1557.126,    3335
1557.220,    3360
1557.313,    3353
1557.409,    3349
1557.502,    3346
1557.596,    3335
1557.691,    3332
1557.783,    3354
1557.877,    3319
1557.973,    3334
1558.065,    3320
1558.159,    3328
1558.254,    3347
1558.346,    3315
1558.439,    3326
